"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"常","5年","6級から","11","ジョウ","つね・とこ","非常（ひじょう）・日常（にちじょう）・常備（じょうび）・常夏（とこなつ）","","","","未校正",""
"情","5年","6級から","11","ジョウ・セイ","なさ（け）","情報（じょうほう）・情勢（じょうせい）・愛情（あいじょう）・情熱（じょうねつ）・同情（どうじょう）","忄","心","","未校正",""
"織","5年","6級から","18","ショク・シキ","お（る）","組織（そしき）・織物（おりもの）・染織（せんしょく）・織機（しょっき）","糸","","","未校正",""
"職","5年","6級から","18","ショク","","就職（しゅうしょく）・職業（しょくぎょう）・職務（しょくむ）・辞職（じしょく）・求職（きゅうしょく）","耳","","","未校正",""
"制","5年","6級から","8","セイ","","制度（せいど）・制限（せいげん）・統制（とうせい）・管制（かんせい）","刂","刀","","未校正",""
"性","5年","6級から","8","セイ・ショウ","","男性（だんせい）・性格（せいかく）・個性（こせい）・性質（せいしつ）・属性（ぞくせい）","忄","心","","未校正",""
"政","5年","6級から","9","セイ・ショウ","まつりごと","政府（せいふ）・政治（せいじ）・政策（せいさく）・行政（ぎょうせい）・政党（せいとう）","攵","攴","","未校正",""
"勢","5年","6級から","13","セイ","いきお（い）","姿勢（しせい）・情勢（じょうせい）・勢力（せいりょく）・態勢（たいせい）・優勢（ゆうせい）","力","","","未校正",""
"精","5年","6級から","14","セイ・ショウ","","精神（せいしん）・精密（せいみつ）・精力（せいりょく）・精進（しょうじん）・精米（せいまい）","米","","","未校正",""
"製","5年","6級から","14","セイ","","製造（せいぞう）・製鉄（せいてつ）・鉄製（てっせい）・製糖（せいとう）・製鋼（せいこう）","衣","","","未校正",""
"税","5年","6級から","12","ゼイ","","税金（ぜいきん）・関税（かんぜい）","禾","","","未校正",""
"責","5年","6級から","11","セキ","せ（める）","責任（せきにん）・責務（せきむ）・職責（しょくせき）","貝","","","未校正",""
"績","5年","6級から","17","セキ","","成績（せいせき）・業績（ぎょうせき）・功績（こうせき）","糸","","","未校正",""
"接","5年","6級から","11","セツ","つ（ぐ）","直接（ちょくせつ）・接近（せっきん）・接待（せったい）","扌","手","","未校正","継ぐ"
"設","5年","6級から","11","セツ","もう（ける）","建設（けんせつ）・設備（せつび）・設立（せつりつ）","言","","","未校正",""
"絶","5年","6級から","12","ゼツ","た（える）・た（やす）・た（つ）","絶対（ぜったい）・断絶（だんぜつ）・絶頂（ぜっちょう）・絶食（ぜっしょく）・謝絶（しゃぜつ）","糸","","","未校正","裁つ・断つ"
"祖","5年","6級から","9","ソ","","祖母（そぼ）・祖父（そふ）・元祖（がんそ）・祖述（そじゅつ）","礻","示","","未校正",""
"素","5年","6級から","10","ソ・ス","","素材（そざい）・酸素（さんそ）・元素（げんそ）・素顔（すがお）・素性（すじょう）","糸","","","未校正",""
"総","5年","6級から","14","ソウ","","総合（そうごう）・総意（そうい）","糸","","","未校正",""
"造","5年","6級から","10","ゾウ","つく（る）","構造（こうぞう）・製造（せいぞう）・創造（そうぞう）・改造（かいぞう）・木造（もくぞう）","⻌","辶","","未校正","作る・創る"
"像","5年","6級から","14","ゾウ","","想像（そうぞう）・現像（げんぞう）・仏像（ぶつぞう）・銅像（どうぞう）","亻","人","","未校正",""
"増","5年","6級から","14","ゾウ","ま（す）・ふ（える）・ふ（やす）","増加（ぞうか）・増減（ぞうげん）・激増（げきぞう）・増刷（ぞうさつ）","土","","","未校正","殖える・殖やす"
"則","5年","6級から","9","ソク","","規則（きそく）・法則（ほうそく）・鉄則（てっそく）・変則（へんそく）","","","","未校正",""
"測","5年","6級から","12","ソク","はか（る）","推測（すいそく）・測量（そくりょう）・測候所（そっこうじょ）・目測（もくそく）","氵","水","","未校正","計る・量る・図る"
"属","5年","6級から","12","ゾク","","金属（きんぞく）・属性（ぞくせい）・従属（じゅうぞく）・専属（せんぞく）","尸","","","未校正",""
"率","5年","6級から","11","ソツ・リツ","ひき（いる）","比率（ひりつ）・能率（のうりつ）・倍率（ばいりつ）・率先（そっせん）・軽率（けいそつ）","","","","未校正",""
"損","5年","6級から","13","ソン","そこ（なう）・そこ（ねる）","損害（そんがい）・損失（そんしつ）・破損（はそん）・欠損（けっそん）・損得（そんとく）","扌","手","","未校正",""
"貸","5年","6級から","12","タイ","か（す）","賃貸（ちんたい）・貸借（たいしゃく）","貝","","","未校正",""
"態","5年","6級から","14","タイ","","状態（じょうたい）・形態（けいたい）・態勢（たいせい）・容態（ようだい）","心","","","未校正",""
"団","5年","6級から","6","ダン・トン","","集団（しゅうだん）・布団（ふとん）・団結（だんけつ）・団地（だんち）","囗","","","未校正",""
"断","5年","6級から","11","ダン","た（つ）・ことわ（る）","判断（はんだん）・横断（おうだん）・断念（だんねん）・断片（だんぺん）・切断（せつだん）","斤","","","未校正","裁つ・絶つ"
"築","5年","6級から","16","チク","きず（く）","建築（けんちく）・改築（かいちく）・築港（ちっこう）","竹","","","未校正",""
"貯","5年","6級から","12","チョ","","貯金（ちょきん）・貯蔵（ちょぞう）・貯水池（ちょすいち）","貝","","","未校正",""
"張","5年","6級から","11","チョウ","は（る）","主張（しゅちょう）・拡張（かくちょう）・張力（ちょうりょく）・縄張（なわばり）","弓","","","未校正","貼る"
"停","5年","6級から","11","テイ","","停止（ていし）・調停（ちょうてい）・停車（ていしゃ）","亻","人","","未校正",""
"提","5年","6級から","12","テイ","さ（げる）","提供（ていきょう）・提案（ていあん）・提出（ていしゅつ）・前提（ぜんてい）・提唱（ていしょう）","扌","手","","未校正","下げる"
"程","5年","6級から","12","テイ","ほど","程度（ていど）・過程（かてい）・日程（にってい）・里程（りてい）","禾","","","未校正",""
"適","5年","6級から","14","テキ","","適切（てきせつ）・快適（かいてき）・適度（てきど）・適否（てきひ）","⻌","辶","","未校正",""
"統","5年","6級から","12","トウ","す（べる）","大統領（だいとうりょう）・伝統（でんとう）・統計（とうけい）・統一（とういつ）・統制（とうせい）","糸","","","未校正",""
"堂","5年","6級から","11","ドウ","","堂宇（どうう）・母堂（ぼどう）","","","","未校正",""
"銅","5年","6級から","14","ドウ","","銅像（どうぞう）・青銅（せいどう）・赤銅（しゃくどう）・銅器（どうき）・分銅（ふんどう）","金","","","未校正",""
"導","5年","6級から","15","ドウ","みちび（く）","指導（しどう）・導入（どうにゅう）・半導体（はんどうたい）","寸","","","未校正",""
"得","5年","6級から","11","トク","え（る）・うる","納得（なっとく）・所得（しょとく）・得意（とくい）・習得（しゅうとく）・損得（そんとく）","彳","","","未校正","獲る"
"毒","5年","6級から","8","ドク","","中毒（ちゅうどく）・毒舌（どくぜつ）・毒薬（どくやく）","毋","母","","未校正",""
"独","5年","6級から","9","ドク","ひと（り）","独立（どくりつ）・独特（どくとく）・単独（たんどく）・独創（どくそう）・独断（どくだん）","⺨","犬","","未校正",""
"任","5年","6級から","6","ニン","まか（せる）・まか（す）","責任（せきにん）・就任（しゅうにん）・任務（にんむ）・任意（にんい）・委任（いにん）","亻","人","","未校正",""
"燃","5年","6級から","16","ネン","も（える）・も（やす）・も（す）","燃料（ねんりょう）・燃焼（ねんしょう）・可燃性（かねんせい）","火","","","未校正",""
"能","5年","6級から","10","ノウ","","可能（かのう）・能力（のうりょく）・才能（さいのう）・芸能（げいのう）・能率（のうりつ）","","","","未校正",""
"破","5年","6級から","10","ハ","やぶ（る）・やぶ（れる）","破産（はさん）・破損（はそん）・打破（だは）・破片（はへん）・看破（かんぱ）","石","","","未校正","敗れる"
"犯","5年","6級から","5","ハン","おか（す）","犯罪（はんざい）・共犯（きょうはん）","⺨","犬","","未校正","侵す・冒す"
"判","5年","6級から","7","ハン・バン","","判断（はんだん）・批判（ひはん）・裁判（さいばん）・判定（はんてい）・評判（ひょうばん）","刂","刀","","未校正",""
"版","5年","6級から","8","ハン","","出版（しゅっぱん）・版画（はんが）・写真版（しゃしんばん）","片","","","未校正",""
"比","5年","6級から","4","ヒ","くら（べる）","比率（ひりつ）・比例（ひれい）・無比（むひ）","比","","","未校正",""
"肥","5年","6級から","8","ヒ","こ（える）・こえ・こ（やす）・こ（やし）","肥料（ひりょう）・肥大（ひだい）・下肥（しもごえ）","月","肉","","未校正",""
"非","5年","6級から","8","ヒ","","非常（ひじょう）・非難（ひなん）","非","","","未校正",""
"費","5年","6級から","12","ヒ","つい（やす）・つい（える）","消費（しょうひ）・費用（ひよう）・経費（けいひ）・旅費（りょひ）・費消（ひしょう）","貝","","","未校正",""
"備","5年","6級から","12","ビ","そな（える）・そな（わる）","準備（じゅんび）・設備（せつび）・予備（よび）・守備（しゅび）・軍備（ぐんび）","亻","人","","未校正","供える"
"評","5年","6級から","12","ヒョウ","","評価（ひょうか）・評判（ひょうばん）・批評（ひひょう）・定評（ていひょう）・品評（ひんぴょう）","言","","","未校正",""
"貧","5年","6級から","11","ヒン・ビン","まず（しい）","貧困（ひんこん）・貧弱（ひんじゃく）・貧富（ひんぷ）・清貧（せいひん）・赤貧（せきひん）","","","","未校正",""
"布","5年","6級から","5","フ","ぬの","財布（さいふ）・分布（ぶんぷ）・布団（ふとん）・流布（るふ）・布地（ぬのじ）","巾","","","未校正",""
"婦","5年","6級から","11","フ","","夫婦（ふうふ）・主婦（しゅふ）・婦人（ふじん）","女","","","未校正",""
"武","5年","6級から","8","ブ・ム","","武力（ぶりょく）・武士（ぶし）・武勇（ぶゆう）・文武（ぶんぶ）・武者人形（むしゃにんぎょう）","","","","未校正",""
"復","5年","6級から","12","フク","","復活（ふっかつ）・復帰（ふっき）・復興（ふっこう）・往復（おうふく）・復旧（ふっきゅう）","彳","","","未校正",""
"複","5年","6級から","14","フク","","複数（ふくすう）・複雑（ふくざつ）・重複（ちょうふく）","衤","衣","","未校正",""
"仏","5年","6級から","4","ブツ","ほとけ","仏像（ぶつぞう）・念仏（ねんぶつ）・成仏（じょうぶつ）・仏事（ぶつじ）・仏様（ほとけさま）","亻","人","","未校正",""
"粉","5年","6級から","10","フン","こ・こな","小麦粉（こむぎこ）・粉末（ふんまつ）・粉雪（こなゆき）・麦粉（むぎこ）","米","","","未校正",""
"編","5年","6級から","15","ヘン","あ（む）","編集（へんしゅう）・編成（へんせい）・長編（ちょうへん）","糸","","","未校正",""
"弁","5年","6級から","5","ベン","","答弁（とうべん）・花弁（かべん）・弁舌（べんぜつ）","","","","未校正",""
"保","5年","6級から","9","ホ","たも（つ）","保険（ほけん）・保護（ほご）・保存（ほぞん）・保守（ほしゅ）・担保（たんぽ）","亻","人","","未校正",""
"墓","5年","6級から","13","ボ","はか","墓地（ぼち）・墓穴（ぼけつ）・墓参（はかまいり）","","","","未校正",""
"報","5年","6級から","12","ホウ","むく（いる）","情報（じょうほう）・報告（ほうこく）・報道（ほうどう）・報復（ほうふく）・電報（でんぽう）","土","","","未校正",""
"豊","5年","6級から","13","ホウ","ゆたか","豊富（ほうふ）・豊作（ほうさく）・豊満（ほうまん）・豊年（ほうねん）","豆","","","未校正",""
"防","5年","6級から","7","ボウ","ふせ（ぐ）","予防（よぼう）・防備（ぼうび）","⻖","阜","","未校正",""
"貿","5年","6級から","12","ボウ","","貿易（ぼうえき）・貿易商（ぼうえきしょう）","貝","","","未校正",""
"暴","5年","6級から","15","ボウ・バク","あば（く）・あば（れる）","乱暴（らんぼう）・暴言（ぼうげん）・横暴（おうぼう）・暴投（ぼうとう）","日","","","未校正",""
"脈","5年","6級から","10","ミャク","","動脈（どうみゃく）・山脈（やまなみ）・静脈（じょうみゃく）","月","肉","","未校正",""
"務","5年","6級から","11","ム","つと（める）・つと（まる）","事務（じむ）・義務（ぎむ）・勤務（きんむ）・職務（しょくむ）・任務（にんむ）","","","","未校正","勤める・努める・勤まる"
"夢","5年","6級から","13","ム","ゆめ","夢中（むちゅう）・悪夢（あくむ）・初夢（はつゆめ）・正夢（まさゆめ）","","","","未校正",""
"迷","5年","6級から","9","メイ","まよ（う）","低迷（ていめい）・迷路（めいろ）・混迷（こんめい）","⻌","辶","","未校正",""
"綿","5年","6級から","14","メン","わた","綿密（めんみつ）・純綿（じゅんめん）・真綿（まわた）・綿糸（めんし）・綿布（めんぷ）","糸","","","未校正",""
"輸","5年","6級から","16","ユ","","輸出（ゆしゅつ）・輸送（ゆそう）・運輸（うんゆ）","車","","","未校正",""
"余","5年","6級から","7","ヨ","あま（る）・あま（す）","余地（よち）・余興（よきょう）・残余（ざんよ）","人","","","未校正",""
"容","5年","6級から","10","ヨウ","","内容（ないよう）・容疑（ようぎ）・容易（ようい）・容器（ようき）・容姿（ようし）","宀","","","未校正",""
"略","5年","6級から","11","リャク","","省略（しょうりゃく）・策略（さくりゃく）・計略（けいりゃく）","田","","","未校正",""
"留","5年","6級から","10","リュウ・ル","と（める）・と（まる）","留学（りゅうがく）・留意（りゅうい）・残留（ざんりゅう）・留守（るす）・保留（ほりゅう）","田","","","未校正","止める・泊める・止まる・泊まる"
"領","5年","6級から","14","リョウ","","大統領（だいとうりょう）・要領（ようりょう）・領土（りょうど）・横領（おうりょう）","頁","","","未校正",""
"歴","5年","6級から","14","レキ","","歴史（れきし）・経歴（けいれき）・歴訪（れきほう）・来歴（らいれき）","","","","未校正",""
"胃","6年","5級から","9","イ","","胃腸（いちょう）・胃下垂（いかすい）・胃酸（いさん）・胃弱（いじゃく）","","","","未校正",""
"異","6年","5級から","11","イ","こと","異議（いぎ）・差異（さい）・異論（いろん）・異変（いへん）・異口同音（いくどうおん）","田","","","未校正",""
"遺","6年","5級から","15","イ・ユイ","","遺産（いさん）・遺言（ゆいごん）・遺失（いしつ）","⻌","辶","","未校正",""
"域","6年","5級から","11","イキ","","地域（ちいき）・区域（くいき）・域内（いきない）","土","","","未校正",""
"宇","6年","5級から","6","ウ","","宇宙（うちゅう）・気宇（きう）・堂宇（どうう）","宀","","","未校正",""
"映","6年","5級から","9","エイ","うつ（る）・うつ（す）・は（える）","映画（えいが）・反映（はんえい）・上映（じょうえい）・映写（えいしゃ）","日","","","未校正","写る・写す・栄える"
"延","6年","5級から","8","エン","の（びる）・の（べる）・の（ばす）","延長（えんちょう）・延期（えんき）","廴","","","未校正","伸びる・伸べる・伸ばす"
"沿","6年","5級から","8","エン","そ（う）","沿線（えんせん）・沿革（えんかく）・沿海（えんかい）","氵","水","","未校正","添う"
"恩","6年","5級から","10","オン","","恩人（おんじん）・恩情（おんじょう）・謝恩（しゃおん）","心","","","未校正",""
"我","6年","5級から","7","ガ","われ・わ","自我（じが）・我流（がりゅう）","","","","未校正",""
"灰","6年","5級から","6","カイ","はい","灰色（はいいろ）・灰皿（はいざら）・石灰（せっかい）・火山灰（かざんばい）・灰白色（かいはくしょく）","","","","未校正",""
"拡","6年","5級から","8","カク","","拡大（かくだい）・拡張（かくちょう）・拡声器（かくせいき）","扌","手","","未校正",""
"革","6年","5級から","9","カク","かわ","改革（かいかく）・革新（かくしん）・沿革（えんかく）・皮革（ひかく）","革","","","未校正","皮"
"閣","6年","5級から","14","カク","","内閣（ないかく）・閣議（かくぎ）","門","","","未校正",""
"割","6年","5級から","12","カツ","わ（る）・わり・わ（れる）・さ（く）","割合（わりあい）・分割（ぶんかつ）・割愛（かつあい）・五割（ごわり）","刂","刀","","未校正","裂く"
"株","6年","5級から","10","","かぶ","株式（かぶしき）・古株（ふるかぶ）","木","","","未校正",""
"干","6年","5級から","3","カン","ほ（す）・ひる","若干（じゃっかん）・干潟（ひがた）・干物（ほしもの）・干潮（かんちょう）","干","","","未校正",""
"巻","6年","5級から","9","カン","ま（く）・まき","圧巻（あっかん）・巻頭（かんとう）・一巻（いっかん）","己","","","未校正",""
"看","6年","5級から","9","カン","","看板（かんばん）・看護（かんご）・看病（かんびょう）・看破（かんぱ）","","","","未校正",""
"簡","6年","5級から","18","カン","","簡単（かんたん）・簡易（かんい）・書簡（しょかん）・簡便（かんべん）","竹","","","未校正",""
"危","6年","5級から","6","キ","あぶ（ない）・あや（うい）・あや（ぶむ）","危険（きけん）・危機（きき）・危害（きがい）・安危（あんき）","","","","未校正",""
"机","6年","5級から","6","キ","つくえ","机上（きじょう）・机辺（きへん）","木","","","未校正",""
"揮","6年","5級から","12","キ","","発揮（はっき）・指揮（しき）・揮発油（きはつゆ）","扌","手","","未校正",""
"貴","6年","5級から","12","キ","たっと（い）・とうと（い）・たっと（ぶ）・とうと（ぶ）","貴重（きちょう）・貴下（きか）・富貴（ふうき）","貝","","","未校正","尊い・尊い・尊ぶ・尊ぶ"
"疑","6年","5級から","14","ギ","うたが（う）","疑問（ぎもん）・容疑（ようぎ）・疑念（ぎねん）・疑似（ぎじ）","","","","未校正",""
"吸","6年","5級から","6","キュウ","す（う）","呼吸（こきゅう）・吸収（きゅうしゅう）・吸入（きゅうにゅう）","口","","","未校正",""
"供","6年","5級から","8","キョウ・ク","そな（える）・とも","子供（こども）・提供（ていきょう）・供給（きょうきゅう）・供養（くよう）・自供（じきょう）","亻","人","","未校正","備える"
"胸","6年","5級から","10","キョウ","むね・むな","度胸（どきょう）・胸中（きょうちゅう）・胸囲（きょうい）・胸板（むないた）・胸毛（むなげ）","月","肉","","未校正",""
"郷","6年","5級から","11","キョウ・ゴウ","","故郷（くに）・郷土（きょうど）・郷里（きょうり）・望郷（ぼうきょう）・異郷（いきょう）","⻏","邑","","未校正",""
"勤","6年","5級から","12","キン・ゴン","つと（める）・つと（まる）","勤務（きんむ）・出勤（しゅっきん）・勤勉（きんべん）・勤行（ごんぎょう）・忠勤（ちゅうきん）","力","","","未校正","努める・務める・務まる"
"筋","6年","5級から","12","キン","すじ","筋肉（きんにく）・鉄筋（てっきん）・一筋（ひとすじ）・大筋（おおすじ）・筋骨（きんこつ）","竹","","","未校正",""
"系","6年","5級から","7","ケイ","","体系（たいけい）・系統（けいとう）・系列（けいれつ）","","","","未校正",""
"敬","6年","5級から","12","ケイ","うやま（う）","尊敬（そんけい）・敬意（けいい）・敬遠（けいえん）・敬服（けいふく）","攵","攴","","未校正",""
"警","6年","5級から","19","ケイ","","警察（けいさつ）・警告（けいこく）・警笛（けいてき）・警察署（けいさつしょ）","言","","","未校正",""
"劇","6年","5級から","15","ゲキ","","劇場（げきじょう）・演劇（えんげき）・悲劇（ひげき）・喜劇（きげき）・劇薬（げきやく）","","","","未校正",""
"激","6年","5級から","16","ゲキ","はげ（しい）","感激（かんげき）・激動（げきどう）・激増（げきぞう）","氵","水","","未校正",""
"穴","6年","5級から","5","ケツ","あな","墓穴（ぼけつ）・穴居（けっきょ）・節穴（ふしあな）","穴","","","未校正",""
"券","6年","5級から","8","ケン","","旅券（りょけん）・乗車券（じょうしゃけん）・郵券（ゆうけん）","刀","","","未校正",""
"絹","6年","5級から","13","ケン","きぬ","絹布（けんぷ）・人絹（じんけん）","糸","","","未校正",""
"権","6年","5級から","15","ケン・ゴン","","権利（けんり）・人権（じんけん）・権力（けんりょく）・主権（しゅけん）・権現（ごんげん）","木","","","未校正",""
"憲","6年","5級から","16","ケン","","憲法（けんぽう）・憲章（けんしょう）・官憲（かんけん）","","","","未校正",""
"源","6年","5級から","13","ゲン","みなもと","資源（しげん）・起源（きげん）・源泉（げんせん）・水源（すいげん）","氵","水","","未校正",""
"厳","6年","5級から","17","ゲン・ゴン","おごそか・きび（しい）","厳密（げんみつ）・厳格（げんかく）・厳重（げんじゅう）・厳禁（げんきん）・厳寒（げんかん）","","","","未校正",""
"己","6年","5級から","3","コ・キ","おのれ","自己（じこ）・利己（りこ）・知己（ちき）","己","","","未校正",""
"呼","6年","5級から","8","コ","よ（ぶ）","呼吸（こきゅう）・呼応（こおう）・点呼（てんこ）","口","","","未校正",""
"誤","6年","5級から","14","ゴ","あやま（る）","誤解（ごかい）・誤差（ごさ）・誤植（ごしょく）・正誤（せいご）","言","","","未校正",""
"后","6年","5級から","6","コウ","","皇后（こうごう）・皇太后（こうたいごう）","","","","未校正",""
"孝","6年","5級から","7","コウ","","孝行（こうこう）・孝心（こうしん）・不孝（ふこう）","","","","未校正",""
"皇","6年","5級から","9","コウ・オウ","","皇室（こうしつ）・皇太子（こうたいし）・皇后（こうごう）・法皇（ほうおう）・皇太后（こうたいごう）","白","","","未校正",""
"紅","6年","5級から","9","コウ・ク","べに・くれない","紅茶（こうちゃ）・紅葉（もみじ）・紅白（こうはく）・口紅（くちべに）・真紅（しんく）","糸","","","未校正",""
"降","6年","5級から","10","コウ","お（りる）・お（ろす）・ふ（る）","下降（かこう）・降雨（こうう）・降雪（こうせつ）・降参（こうさん）","⻖","阜","","未校正","下りる・下ろす・卸す"
"鋼","6年","5級から","16","コウ","はがね","鋼鉄（こうてつ）・鋼材（こうざい）・製鋼（せいこう）","金","","","未校正",""
"刻","6年","5級から","8","コク","きざ（む）","時刻（じこく）・深刻（しんこく）・後刻（ごこく）","刂","刀","","未校正",""
"穀","6年","5級から","14","コク","","穀物（こくもつ）・雑穀（ざっこく）・五穀（ごこく）・穀倉（こくそう）","","","","未校正",""
"骨","6年","5級から","10","コツ","ほね","骨子（こっし）・筋骨（きんこつ）・老骨（ろうこつ）","骨","","","未校正",""
"困","6年","5級から","7","コン","こま（る）","困難（こんなん）・貧困（ひんこん）","囗","","","未校正",""
"砂","6年","5級から","9","サ・シャ","すな","砂糖（さとう）・土砂（どしゃ）・砂場（すなば）・白砂青松（はくしゃせいしょう）","石","","","未校正",""
"座","6年","5級から","10","ザ","すわ（る）","座席（ざせき）・星座（せいざ）・座談（ざだん）・一座（いちざ）・玉座（ぎょくざ）","广","","","未校正","据わる"
"済","6年","5級から","11","サイ","す（む）・す（ます）","経済（けいざい）・救済（きゅうさい）・返済（へんさい）","氵","水","","未校正",""
"裁","6年","5級から","12","サイ","た（つ）・さば（く）","裁判（さいばん）・仲裁（ちゅうさい）・体裁（ていさい）","","","","未校正","断つ・絶つ"
"策","6年","5級から","12","サク","","政策（せいさく）・対策（たいさく）・策略（さくりゃく）・術策（じゅっさく）","竹","","","未校正",""
"冊","6年","5級から","5","サツ・サク","","冊子（さっし）・別冊（べっさつ）・短冊（たんざく）","","","","未校正",""
"蚕","6年","5級から","10","サン","かいこ","養蚕（ようさん）・蚕糸（さんし）・蚕食（さんしょく）","","","","未校正",""
"至","6年","5級から","6","シ","いた（る）","至極（しごく）・夏至（げし）・冬至（とうじ）・至誠（しせい）・至当（しとう）","至","","","未校正",""
"私","6年","5級から","7","シ","わたくし・わたし","私立（しりつ）・公私（こうし）・私財（しざい）・私腹（しふく）","禾","","","未校正",""
"姿","6年","5級から","9","シ","すがた","姿勢（しせい）・容姿（ようし）","女","","","未校正",""
"視","6年","5級から","11","シ","","視覚（しかく）・視力（しりょく）・注視（ちゅうし）","","","","未校正",""
"詞","6年","5級から","12","シ","","歌詞（かし）・作詞（さくし）・品詞（ひんし）","言","","","未校正",""
"誌","6年","5級から","14","シ","","雑誌（ざっし）・日誌（にっし）・誌面（しめん）","言","","","未校正",""
"磁","6年","5級から","14","ジ","","磁気（じき）・磁石（じしゃく）","石","","","未校正",""
"射","6年","5級から","10","シャ","い（る）","発射（はっしゃ）・日射病（にっしゃびょう）・反射鏡（はんしゃきょう）","","","","未校正",""
"捨","6年","5級から","11","シャ","す（てる）","捨象（しゃしょう）・喜捨（きしゃ）・取捨（しゅしゃ）","扌","手","","未校正",""
"尺","6年","5級から","4","シャク","","尺度（しゃくど）","尸","","","未校正",""
"若","6年","5級から","8","ジャク・ニャク","わか（い）・も（しくは）","若者（わかもの）・若干（じゃっかん）・若年（じゃくねん）・自若（じじゃく）・老若（ろうにゃく）","艹","艸","","未校正",""
"樹","6年","5級から","16","ジュ","","樹木（じゅもく）・樹立（じゅりつ）・植樹（しょくじゅ）・街路樹（がいろじゅ）・樹皮（じゅひ）","木","","","未校正",""
"収","6年","5級から","4","シュウ","おさ（める）・おさ（まる）","収入（しゅうにゅう）・回収（かいしゅう）・買収（ばいしゅう）・吸収（きゅうしゅう）・収納（しゅうのう）","又","","","未校正","納める・納まる"
"宗","6年","5級から","8","シュウ・ソウ","","宗教（しゅうきょう）・宗派（しゅうは）・改宗（かいしゅう）・宗家（そうけ）","宀","","","未校正",""
"就","6年","5級から","12","シュウ・ジュ","つ（く）・つ（ける）","就職（しゅうしょく）・就任（しゅうにん）・成就（じょうじゅ）・就航（しゅうこう）・去就（きょしゅう）","","","","未校正","着く・付く・着ける・付ける"
"衆","6年","5級から","12","シュウ・シュ","","大衆（たいしゅう）・民衆（みんしゅう）・衆生（しゅじょう）","血","","","未校正",""
"従","6年","5級から","10","ジュウ・ショウ・ジュ","したが（う）・したが（える）","従事（じゅうじ）・従属（じゅうぞく）・服従（ふくじゅう）・従順（じゅうじゅん）・従容（しょうよう）","彳","","","未校正",""
"縦","6年","5級から","16","ジュウ","たて","操縦（そうじゅう）・縦横（じゅうおう）・縦断（じゅうだん）","糸","","","未校正",""
"縮","6年","5級から","17","シュク","ちぢ（む）・ちぢ（まる）・ちぢ（める）・ちぢ（れる）・ちぢ（らす）","縮小（しゅくしょう）・短縮（たんしゅく）・縮図（しゅくず）","糸","","","未校正",""
"熟","6年","5級から","15","ジュク","う（れる）","成熟（せいじゅく）・熟練（じゅくれん）・円熟（えんじゅく）","灬","火","","未校正",""
"純","6年","5級から","10","ジュン","","純真（じゅんしん）・不純（ふじゅん）・純潔（じゅんけつ）・純金（じゅんきん）・純綿（じゅんめん）","糸","","","未校正",""
"処","6年","5級から","5","ショ","","処置（しょち）・処女（しょじょ）・仮処分（かりしょぶん）・善処（ぜんしょ）・処世（しょせい）","","","","未校正",""
"署","6年","5級から","13","ショ","","署名（しょめい）・署長（しょちょう）・警察署（けいさつしょ）","罒","网","","未校正",""
"諸","6年","5級から","15","ショ","","諸国（しょこく）・諸君（しょくん）・諸姉（しょし）","言","","","未校正",""
"除","6年","5級から","10","ジョ・ジ","のぞ（く）","解除（かいじょ）・除去（じょきょ）・除外（じょがい）・除数（じょすう）","⻖","阜","","未校正",""
"承","6年","5級から","8","ショウ","うけたまわ（る）","承知（しょうち）・承認（しょうにん）","","","","未校正",""
"将","6年","5級から","10","ショウ","","将来（しょうらい）・大将（たいしょう）・将校（しょうこう）","","","","未校正",""
"傷","6年","5級から","13","ショウ","きず・いた（む）・いた（める）","負傷（ふしょう）・傷害（しょうがい）・感傷（かんしょう）・古傷（ふるきず）","亻","人","","未校正","痛む・悼む・痛める"
"障","6年","5級から","14","ショウ","さわ（る）","障害（しょうがい）・故障（こしょう）・支障（ししょう）・障子（しょうじ）","⻖","阜","","未校正",""
"蒸","6年","5級から","13","ジョウ","む（す）・む（れる）・む（らす）","蒸気（じょうき）・蒸発（じょうはつ）","艹","艸","","未校正",""
"針","6年","5級から","10","シン","はり","針金（はりがね）・秒針（びょうしん）・運針（うんしん）・針路（しんろ）","金","","","未校正",""
"仁","6年","5級から","4","ジン・ニ","","仁義（じんぎ）・仁王（におう）・仁術（じんじゅつ）","亻","人","","未校正",""
"垂","6年","5級から","8","スイ","た（れる）・た（らす）","垂直（すいちょく）・胃下垂（いかすい）","","","","未校正",""
"推","6年","5級から","11","スイ","お（す）","推進（すいしん）・推測（すいそく）・推移（すいい）","扌","手","","未校正","押す"
"寸","6年","5級から","3","スン","","寸法（すんぽう）・一寸先（いっすんさき）・寸志（すんし）・寸秒（すんびょう）","寸","","","未校正",""
"盛","6年","5級から","11","セイ・ジョウ","も（る）・さかる・さかん","盛大（せいだい）・全盛（ぜんせい）・盛夏（せいか）","皿","","","未校正",""
"聖","6年","5級から","13","セイ","","聖書（せいしょ）・神聖（しんせい）・聖人（せいじん）","","","","未校正",""
"誠","6年","5級から","13","セイ","まこと","誠実（せいじつ）・誠意（せいい）・至誠（しせい）・誠忠（せいちゅう）","言","","","未校正",""
